tahun,bulan,benua,region,nama_negara,nilai_ekspor
2005,"Juli","Asia dan Timur Tengah","ASEAN","Thailand",226147
2005,"Juli","Asia dan Timur Tengah","ASEAN","Vietnam",56067
2005,"Juli","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",113801
2005,"Juli","Asia dan Timur Tengah","Asia Selatan","India",296814
2005,"Juli","Asia dan Timur Tengah","Timur Tengah","Irak",6644
2005,"Juli","Asia dan Timur Tengah","Asia Timur","Jepang",1578185
2005,"Juli","Asia dan Timur Tengah","Asia Timur","Korea Selatan",556247
2005,"Juli","Asia dan Timur Tengah","Asia Selatan","Pakistan",61853
2005,"Juli","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",519941
2005,"Juli","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",46013
2005,"Juli","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",154078
2005,"Juli","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",237191
2005,"Juli","Australia dan Oceania","Australia","Australia",206605
2005,"Juli","Australia dan Oceania","New Zealand","New Zealand",15301
2005,"Juli","Afrika","Afrika Selatan","Afrika Selatan",25259
2005,"Juli","Afrika","Afrika Lainnya","Afrika lainnya",105358
2005,"Juli","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan","Ekspor yang tidak dapat diklasifikasikan",73379
2005,"Agustus","Amerika","Amerika Utara","Amerika Serikat",700635
2005,"Agustus","Amerika","Amerika Utara","Kanada",42182
2005,"Agustus","Amerika","Amerika Tengah dan Selatan","Argentina",11624
2005,"Agustus","Amerika","Amerika Tengah dan Selatan","Brasil",39162
2005,"Agustus","Amerika","Amerika Tengah dan Selatan","Meksiko",20279
2005,"Agustus","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",39042
2005,"Agustus","Eropa","Uni Eropa","Belanda",175551
2005,"Agustus","Eropa","Uni Eropa","Belgia",71779
2005,"Agustus","Eropa","Uni Eropa","Inggris",89425
2005,"Agustus","Eropa","Uni Eropa","Italia",74316
2005,"Agustus","Eropa","Uni Eropa","Jerman",132736
2005,"Agustus","Eropa","Uni Eropa","Perancis",38306
2005,"Agustus","Eropa","Uni Eropa","Spanyol",47035
2005,"Agustus","Eropa","Uni Eropa","Uni Eropa lainnya ",81704
2005,"Agustus","Eropa","Rusia","Rusia",11878
2005,"Agustus","Eropa","Turki","Turki",33536
2005,"Agustus","Eropa","Eropa Lainnya","Eropa lainnya",39856
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",2654
